,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Outlet_Age
58,1183,15.1,0,0.17348130399999998,13,194.511,8,1997,2,0,1,4910.275,1,16
2251,1183,15.1,0,0.30374337,13,196.011,4,1985,2,0,0,589.2330000000002,1,28
4310,1183,15.1,0,0.13728316933333332,13,197.211,0,1998,2,2,0,196.411,1,15
4540,1183,15.1,0,0.17264121300000002,13,195.111,5,1985,1,2,3,5303.097,1,28
6902,1183,15.1,0,0.17383312899999998,13,196.511,7,2002,2,1,1,4713.864000000001,1,11
8148,1183,15.1,0,0.13728316933333332,13,195.211,1,1987,0,2,1,3142.576,1,26
1750,1314,6.235,0,0.020229757,9,260.8962,9,1999,1,0,1,5956.9126,2,14
5904,1314,6.235,0,0.020198354,9,257.9962,8,1997,2,0,1,517.9924,2,16
7396,1314,6.235,0,0.033807904,9,258.9962,0,1998,2,2,0,258.9962,2,15
572,519,16.7,1,0.038606365,13,146.5102,7,2002,2,1,1,2770.3938,1,11
3372,519,16.7,1,0.038341654,13,146.2102,5,1985,1,2,3,4228.4958,1,28
4007,519,16.7,1,0.03858813,13,144.6102,9,1999,1,0,1,3353.6346,1,14
4010,519,16.7,1,0.038528228,13,143.9102,8,1997,2,0,1,1749.7224,1,16
4507,519,16.7,1,0.038685176,13,146.6102,3,2009,1,2,2,2770.3938,1,4
4980,519,16.7,1,0.03874616,13,143.8102,2,2007,2,1,1,4811.7366,1,6
6826,519,16.7,1,0.038496166,13,147.5102,1,1987,0,2,1,5540.7876,1,26
2992,1377,13.85,0,0.031338558,11,41.048,8,1997,2,0,1,639.168,2,16
3288,1377,13.85,0,0.0311868,11,39.548,5,1985,1,2,3,759.012,2,28
4722,1377,13.85,0,0.031402114,11,40.24800000000001,7,2002,2,1,1,319.584,2,11
6139,1377,13.85,0,0.05486977,11,40.548,4,1985,2,0,0,39.948,2,28
1971,474,20.75,1,0.129337594,12,238.188,8,1997,2,0,1,5033.448,1,16
4204,474,20.75,1,0.12953868,12,240.288,9,1999,1,0,1,2396.88,1,14
5042,474,20.75,1,0.129864461,12,240.188,3,2009,1,2,2,5992.2,1,4
5794,474,20.75,1,0.09718518375,12,239.988,7,2002,2,1,1,2636.568,1,11
3900,1031,14.85,1,0.035400659,6,161.9578,3,2009,1,2,2,1444.1202,1,4
4471,1031,14.85,1,0.035227697,6,159.5578,1,1987,0,2,1,2085.9514,1,26
6241,1031,14.85,1,0.06173052,6,159.1578,4,1985,2,0,0,160.4578,1,28
6251,1031,14.85,1,0.03525037,6,160.9578,6,2004,2,1,1,2246.4092,1,9
6564,1031,14.85,1,0.035456465,6,162.2578,2,2007,2,1,1,3690.5294,1,6
6692,1031,14.85,1,0.035311852000000005,6,160.9578,9,1999,1,0,1,4813.734,1,14
8066,1031,14.85,1,0.035257037000000005,6,161.2578,8,1997,2,0,1,4171.9028,1,16
620,741,8.1,1,0.134532392,3,39.448,9,1999,1,0,1,878.8560000000001,1,14
725,741,8.1,1,0.133673087,3,41.548,5,1985,1,2,3,918.804,1,28
3559,741,8.1,1,0.134870732,3,41.948,3,2009,1,2,2,199.74,1,4
7558,741,8.1,1,0.235183205,3,41.548,4,1985,2,0,0,79.896,1,28
1509,390,16.7,1,0.119362812,6,180.3976,1,1987,0,2,1,3078.6592,1,26
1787,390,16.7,1,0.119439636,6,182.1976,6,2004,2,1,1,724.3904,1,9
2404,390,16.7,1,0.120137953,6,181.2976,2,2007,2,1,1,3078.6592,1,6
4998,390,16.7,1,0.119462225,6,182.7976,8,1997,2,0,1,1810.976,1,16
5784,390,16.7,1,0.199955274,6,182.3976,0,1998,2,2,0,724.3904,1,15
5799,390,16.7,1,0.118883724,6,180.3976,5,1985,1,2,3,7425.0016,1,28
6535,390,16.7,1,0.119647957,6,180.9976,9,1999,1,0,1,4165.2448,1,14
7968,390,16.7,1,0.119704498,6,181.9976,7,2002,2,1,1,5432.928000000001,1,11
8292,390,16.7,1,0.209162936,6,179.1976,4,1985,2,0,0,543.2928,1,28
1242,956,4.92,0,0.046026479,0,196.5084,9,1999,1,0,1,3769.7596,1,14
1494,956,4.92,0,0.046214971,0,199.8084,2,2007,2,1,1,3968.168,1,6
3805,956,4.92,0,0.045955030999999986,0,199.1084,8,1997,2,0,1,2182.4924,1,16
5595,956,4.92,0,0.046142232000000005,0,199.1084,3,2009,1,2,2,4761.8016,1,4
6252,956,4.92,0,0.045916788,0,198.8084,1,1987,0,2,1,2976.126,1,26
8435,956,4.92,0,0.03837591683333333,0,196.5084,5,1985,1,2,3,793.6336,1,28
609,549,6.98,0,0.041105789,3,83.4934,8,1997,2,0,1,1555.9746,1,16
3059,549,6.98,0,0.041071581,3,82.5934,1,1987,0,2,1,1310.2944,1,26
3236,549,6.98,0,0.041098016,3,81.6934,6,2004,2,1,1,818.934,1,9
4584,549,6.98,0,0.041273236,3,82.4934,3,2009,1,2,2,982.7208,1,4
5657,549,6.98,0,0.041189152,3,82.8934,7,2002,2,1,1,818.934,1,11
8223,549,6.98,0,0.0413383,3,83.3934,2,2007,2,1,1,491.3604,1,6
1258,684,16.85,1,0.026561057,3,93.712,9,1999,1,0,1,466.06,1,14
6357,684,16.85,1,0.026627857,3,93.712,3,2009,1,2,2,745.696,1,4
6551,684,16.85,1,0.026391403,3,92.812,5,1985,1,2,3,2609.936,1,28
96,382,12.15,0,0.131383762,5,246.046,9,1999,1,0,1,1231.73,1,14
1751,382,12.15,0,0.131445848,5,246.846,7,2002,2,1,1,6404.996,1,11
4072,382,12.15,0,0.131921819,5,246.346,2,2007,2,1,1,739.038,1,6
6334,382,12.15,0,0.130544568,5,248.046,5,1985,1,2,3,7883.071999999999,1,28
6390,382,12.15,0,0.131714183,5,245.846,3,2009,1,2,2,4434.228,1,4
6472,382,12.15,0,0.13117981199999998,5,245.246,8,1997,2,0,1,3202.498,1,16
4429,1310,21.1,0,0.010593469,9,234.2958,1,1987,0,2,1,3739.1328,2,26
5726,1310,21.1,0,0.0084693996,9,233.2958,3,2009,1,2,2,2103.2622,2,4
7188,1310,21.1,0,0.01055095,9,234.9958,5,1985,1,2,3,13086.9648,2,28
8177,1310,21.1,0,0.010600287,9,233.9958,6,2004,2,1,1,1869.5664,2,9
8322,1310,21.1,0,0.010602292,9,235.3958,8,1997,2,0,1,3271.7412,2,16
3605,736,20.5,1,0.112316501,6,193.9478,1,1987,0,2,1,4456.1994,1,26
4950,736,20.5,1,0.113045883,6,194.1478,2,2007,2,1,1,2906.217,1,6
6154,736,20.5,1,0.112410046,6,192.2478,8,1997,2,0,1,3874.956,1,16
7056,736,20.5,1,0.112638016,6,195.5478,7,2002,2,1,1,3874.956,1,11
7357,736,20.5,1,0.112584813,6,192.0478,9,1999,1,0,1,1549.9824,1,14
351,866,14.5,1,0.063993068,1,260.4594,7,2002,2,1,1,5494.8474,1,11
1013,866,14.5,1,0.063851475,1,260.4594,6,2004,2,1,1,3139.9128,1,9
1759,866,14.5,1,0.06386355099999999,1,262.3594,8,1997,2,0,1,4448.2098,1,16
1875,866,14.5,1,0.106894492,1,260.4594,0,1998,2,2,0,1046.6376,1,15
4094,866,14.5,1,0.064224789,1,262.7594,2,2007,2,1,1,7064.8038,1,6
6934,866,14.5,1,0.063962842,1,263.1594,9,1999,1,0,1,2616.594,1,14
7999,866,14.5,1,0.063810405,1,263.2594,1,1987,0,2,1,2878.2534,1,26
8198,866,14.5,1,0.063554289,1,263.6594,5,1985,1,2,3,3401.5722,1,28
89,670,20.85,0,0.039624006,10,117.2808,9,1999,1,0,1,1523.3504,1,14
602,670,20.85,0,0.02963748375,10,115.1808,3,2009,1,2,2,1054.6272,1,4
3515,670,20.85,0,0.039370913,10,116.9808,5,1985,1,2,3,3866.9664,1,28
6593,670,20.85,0,0.039555016,10,116.8808,6,2004,2,1,1,820.2656,1,9
805,660,15.6,0,0.08071118,0,113.1544,5,1985,1,2,3,3355.632,1,28
1346,660,15.6,0,0.077347713,0,111.8544,3,2009,1,2,2,1454.1072,1,4
3086,660,15.6,0,0.13575135,0,111.5544,0,1998,2,2,0,223.7088,1,15
3581,660,15.6,0,0.081103929,0,112.3544,8,1997,2,0,1,1006.6896,1,16
5846,660,15.6,0,0.081562686,0,112.7544,2,2007,2,1,1,1118.544,1,6
6302,660,15.6,0,0.08126841,0,110.2544,7,2002,2,1,1,1789.6704,1,11
6700,660,15.6,0,0.08103643599999999,0,112.3544,1,1987,0,2,1,2572.6512,1,26
137,228,6.92,0,0.038532062,4,60.5852,7,2002,2,1,1,1314.2892,1,11
1286,228,6.92,0,0.038671588,4,64.2852,2,2007,2,1,1,438.0964,1,6
3295,228,6.92,0,0.038610722,4,61.4852,3,2009,1,2,2,1314.2892,1,4
3694,228,6.92,0,0.038422076,4,62.5852,1,1987,0,2,1,438.0964,1,26
5564,228,6.92,0,0.038446805,4,63.5852,6,2004,2,1,1,751.0224,1,9
8386,228,6.92,0,0.038454076,4,61.5852,8,1997,2,0,1,813.6076,1,16
2514,680,19.35,0,0.118102769,13,224.8088,8,1997,2,0,1,2013.3792,1,16
2537,680,19.35,0,0.118342285,13,222.6088,7,2002,2,1,1,1789.6704,1,11
4336,680,19.35,0,0.118080437,13,222.6088,6,2004,2,1,1,6040.1376,1,9
8356,680,19.35,0,0.117530851,13,222.7088,5,1985,1,2,3,4026.7584,1,28
227,43,8.93,0,0.049754975,4,152.134,4,1985,2,0,0,153.134,0,28
1262,43,8.93,0,0.028578012000000007,4,152.234,2,2007,2,1,1,3828.35,0,6
3832,43,8.93,0,0.028461453,4,152.234,9,1999,1,0,1,5053.422000000001,0,14
3929,43,8.93,0,0.028417272,4,154.534,8,1997,2,0,1,2603.278,0,16
4946,43,8.93,0,0.028411899,4,152.334,6,2004,2,1,1,2143.876,0,9
5294,43,8.93,0,0.02827966,4,152.234,5,1985,1,2,3,1071.938,0,28
6358,43,8.93,0,0.028393624,4,153.434,1,1987,0,2,1,1378.206,0,26
8182,43,8.93,0,0.028533032000000007,4,151.434,3,2009,1,2,2,1225.072,0,4
211,13,13.8,0,0.058091482,4,245.1802,6,2004,2,1,1,5650.6446,0,9
1908,13,13.8,0,0.058220302,4,247.4802,7,2002,2,1,1,1474.0812,0,11
3460,13,13.8,0,0.05843112,4,243.6802,2,2007,2,1,1,1965.4416,0,6
4730,13,13.8,0,0.058192802,4,246.9802,9,1999,1,0,1,5896.3248,0,14
6656,13,13.8,0,0.097251621,4,245.7802,0,1998,2,2,0,245.6802,0,15
7232,13,13.8,0,0.058339153,4,246.2802,3,2009,1,2,2,1228.401,0,4
238,1133,7.05,0,0.08455456900000001,13,109.8912,5,1985,1,2,3,2074.6328,1,28
1764,1133,7.05,0,0.085312137,13,107.4912,3,2009,1,2,2,982.7208,1,4
1776,1133,7.05,0,0.148764535,13,111.1912,4,1985,2,0,0,109.1912,1,28
3070,1133,7.05,0,0.08509812,13,108.2912,9,1999,1,0,1,2293.0152,1,14
3100,1133,7.05,0,0.14221570000000006,13,108.7912,0,1998,2,2,0,109.1912,1,15
4819,1133,7.05,0,0.084966021,13,111.1912,8,1997,2,0,1,1965.4416,1,16
5355,1133,7.05,0,0.084949955,13,109.7912,6,2004,2,1,1,1091.912,1,9
6328,1133,7.05,0,0.08513833400000001,13,108.6912,7,2002,2,1,1,1310.2944,1,11
1980,788,7.35,1,0.014394261,6,241.3512,7,2002,2,1,1,5331.7264,1,11
2228,788,7.35,1,0.014353174,6,242.6512,1,1987,0,2,1,969.4048,1,26
5223,788,7.349999999999999,1,0.014295563999999997,6,242.6512,5,1985,1,2,3,12117.56,1,28
6344,788,7.35,1,0.024044279,6,241.0512,0,1998,2,2,0,242.3512,1,15
267,407,7.975,0,0.014618973,0,85.225,1,1987,0,2,1,1081.925,1,26
468,407,7.975,0,0.014660821,0,85.125,7,2002,2,1,1,2663.2,1,11
774,407,7.975,0,0.014560297,0,81.425,5,1985,1,2,3,1331.6,1,28
1384,407,7.975,0,0.01469075,0,84.725,3,2009,1,2,2,1747.725,1,4
2075,407,7.975,0,0.014653896,0,82.425,9,1999,1,0,1,749.025,1,14
5327,407,7.975,0,0.014628382,0,82.325,6,2004,2,1,1,1331.6,1,9
6142,407,7.975,0,0.014713909,0,83.125,2,2007,2,1,1,2579.975,1,6
8034,407,7.975,0,0.014631149,0,84.525,8,1997,2,0,1,416.125,1,16
43,236,21.35,0,0.06910283099999999,3,259.9278,3,2009,1,2,2,6768.5228,1,4
483,236,21.35,0,0.115194717,3,258.3278,0,1998,2,2,0,520.6556,1,15
2320,236,21.35,0,0.068489201,3,259.3278,5,1985,1,2,3,4165.2448,1,28
2368,236,21.35,0,0.068809463,3,258.5278,6,2004,2,1,1,5206.556,1,9
2802,236,21.35,0,0.068765205,3,260.4278,1,1987,0,2,1,3644.5892,1,26
4468,236,21.35,0,0.068822477,3,258.3278,8,1997,2,0,1,7028.8506,1,16
2507,285,12.85,0,0.030678825,15,251.704,7,2002,2,1,1,3542.056,1,11
3912,285,12.85,0,0.030789914,15,254.904,2,2007,2,1,1,3036.048,1,6
3977,285,12.85,0,0.020421410666666667,15,253.004,3,2009,1,2,2,3795.06,1,4
5668,285,12.85,0,0.020421410666666667,15,254.704,6,2004,2,1,1,2530.04,1,9
5901,285,12.85,0,0.030591255,15,251.404,1,1987,0,2,1,2277.036,1,26
7803,285,12.85,0,0.03046847,15,254.704,5,1985,1,2,3,3036.048,1,28
106,181,10.5,1,0.116576702,0,163.121,1,1987,0,2,1,1794.331,1,26
801,181,10.5,1,0.09730701983333334,0,162.421,7,2002,2,1,1,1304.968,1,11
2437,181,10.5,1,0.116108797,0,164.12099999999995,5,1985,1,2,3,6035.477,1,28
4316,181,10.5,1,0.117149075,0,164.12099999999995,3,2009,1,2,2,1794.331,1,4
5793,181,10.5,1,0.116673795,0,161.721,8,1997,2,0,1,3588.6620000000007,1,16
7552,181,10.5,1,0.11733375,0,164.12099999999995,2,2007,2,1,1,2773.057,1,6
1986,59,16.2,0,0.019417732,14,153.7972,7,2002,2,1,1,1402.1748,0,11
2300,59,16.2,0,0.019374768,14,155.8972,6,2004,2,1,1,2025.3636,0,9
2998,59,16.2,0,0.019378432,14,156.4972,8,1997,2,0,1,1090.5804,0,16
3374,59,16.2,0,0.01940856,14,156.7972,9,1999,1,0,1,3739.1328,0,14
5247,59,16.2,0,0.019362306,14,154.6972,1,1987,0,2,1,1713.7692,0,26
6875,59,16.2,0,0.033929133,14,154.3972,4,1985,2,0,0,311.5944,0,28
7830,59,16.2,0,0.019457372,14,153.9972,3,2009,1,2,2,1246.3776,0,4
967,957,7.0,0,0.152261999,3,105.728,2,2007,2,1,1,1278.336,1,6
4578,957,7.0,0,0.13259144074999998,3,105.628,9,1999,1,0,1,1384.864,1,14
6010,957,7.0,0,0.15171264199999998,3,104.828,7,2002,2,1,1,1278.336,1,11
6553,957,7.0,0,0.150672399,3,104.728,5,1985,1,2,3,2450.144,1,28
6741,957,7.0,0,0.151376958,3,108.228,6,2004,2,1,1,1171.808,1,9
7028,957,7.0,0,0.15140558699999998,3,107.728,8,1997,2,0,1,2024.032,1,16
7181,957,7.0,0,0.15202235,3,106.628,3,2009,1,2,2,639.168,1,4
7678,957,7.0,0,0.151279591,3,107.028,1,1987,0,2,1,2876.256,1,26
1267,1557,9.6,0,0.024576875,8,186.6214,3,2009,1,2,2,1884.214,2,4
2084,1557,9.6,0,0.024358634,8,190.4214,5,1985,1,2,3,5652.642,2,28
3959,1557,9.6,0,0.024456797,8,186.6214,1,1987,0,2,1,3203.1638,2,26
4924,1557,9.6,0,0.040969757,8,188.7214,0,1998,2,2,0,376.8428,2,15
6879,1557,9.6,0,0.024515221,8,189.2214,9,1999,1,0,1,3956.8494,2,14
1484,1270,16.75,0,0.032580547,8,192.1162,6,2004,2,1,1,3848.324,2,9
3091,1270,16.75,0,0.032652796,8,190.8162,7,2002,2,1,1,2886.243,2,11
5684,1270,16.75,0,0.032637373,8,191.6162,9,1999,1,0,1,3463.4916,2,14
5939,1270,16.75,0,0.032586709,8,191.9162,8,1997,2,0,1,4040.7402,2,16
5970,1270,16.75,0,0.032771033,8,192.3162,2,2007,2,1,1,2308.9944,2,6
473,923,15.15,1,0.012282366,13,132.5284,9,1999,1,0,1,1713.7692,1,14
2161,923,15.15,1,0.012203915,13,133.2284,5,1985,1,2,3,4350.3372,1,28
2448,923,15.15,1,0.012260981,13,131.7284,6,2004,2,1,1,1186.4556,1,9
3364,923,15.15,1,0.012288171,13,129.9284,7,2002,2,1,1,2241.0828,1,11
4778,923,15.15,1,0.012332667,13,130.0284,2,2007,2,1,1,3559.3668,1,6
7123,923,15.15,1,0.021471456,13,131.0284,4,1985,2,0,0,131.8284,1,28
2288,121,8.52,0,0.027101431,14,151.7682,9,1999,1,0,1,2439.4912,0,14
3146,121,8.52,0,0.045291822,14,153.5682,0,1998,2,2,0,457.4046,0,15
4996,121,8.52,0,0.02705936,14,153.3682,8,1997,2,0,1,914.8092,0,16
6436,121,8.52,0,0.027054244,14,151.5682,6,2004,2,1,1,3506.7686,0,9
6460,121,8.52,0,0.027114238,14,151.9682,7,2002,2,1,1,1677.1502,0,11
6609,121,8.52,0,0.027169589,14,151.0682,3,2009,1,2,2,1829.6184,0,4
7753,121,8.519999999999998,0,0.047377447,14,150.6682,4,1985,2,0,0,457.4046,0,28
588,720,12.6,0,0.087029712,6,109.2228,5,1985,1,2,3,3205.1612,1,28
3316,720,12.6,0,0.087380432,6,109.7228,1,1987,0,2,1,1547.3192,1,26
3499,720,12.6,0,0.087630566,6,110.0228,7,2002,2,1,1,3205.1612,1,11
5523,720,12.6,0,0.087436672,6,109.9228,6,2004,2,1,1,663.1368,1,9
731,812,16.0,1,0.017536671,10,45.5718,1,1987,0,2,1,1039.9796,1,26
