,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_Combined,Outlet_Age
1982,1020,7.75,1,0.08252910299999999,5,34.1558,5,1985,1,2,3,1,28
5288,1020,7.75,1,0.041264551499999996,5,34.5558,7,2002,2,1,1,1,11
992,1024,14.85,1,0.009936905,13,156.963,6,2004,2,1,1,1,9
3475,1024,14.85,1,0.009938784,13,157.863,8,1997,2,0,1,1,16
5305,1024,14.85,1,0.009890655,13,156.263,5,1985,1,2,3,1,28
375,963,10.3,0,0.027315417,6,98.7042,8,1997,2,0,1,1,16
2258,963,10.3,0,0.027357885,6,99.1042,9,1999,1,0,1,1,14
2519,963,10.3,0,0.027469924,6,98.9042,2,2007,2,1,1,1,6
3864,963,10.3,0,0.027370814,6,97.6042,7,2002,2,1,1,1,11
1930,185,17.2,1,0.056978250999999994,6,224.4088,6,2004,2,1,1,1,9
1988,185,17.2,1,0.057311380999999995,6,224.8088,2,2007,2,1,1,1,6
4319,185,17.2,1,0.056989027000000005,6,225.3088,8,1997,2,0,1,1,16
4497,185,17.2,1,0.057104603,6,223.1088,7,2002,2,1,1,1,11
4644,185,17.2,1,0.05707763,6,224.8088,9,1999,1,0,1,1,14
942,1385,16.5,0,0.035483325,8,91.912,5,1985,1,2,3,2,28
2583,1385,16.5,0,0.035649249,8,91.912,6,2004,2,1,1,2,9
3154,1385,16.5,0,0.035857676,8,92.512,2,2007,2,1,1,2,6
3403,1385,16.5,0,0.035655991,8,91.212,8,1997,2,0,1,2,16
1150,858,14.5,1,0.064123704,1,262.3594,3,2009,1,2,2,1,4
1232,1211,9.17,0,0.10248013800000001,0,142.747,5,1985,1,2,3,1,28
3585,1211,9.17,0,0.102959345,0,142.14700000000002,6,2004,2,1,1,1,9
3605,1211,9.17,0,0.103561308,0,144.14700000000002,2,2007,2,1,1,1,6
3820,1211,9.17,0,0.103187661,0,141.247,7,2002,2,1,1,1,11
609,835,13.85,1,0.043345405999999996,5,162.821,0,1998,2,2,0,1,15
951,835,13.85,1,0.02577108,5,163.621,5,1985,1,2,3,1,28
4936,835,13.85,1,0.025874934,5,163.421,1,1987,0,2,1,1,26
5178,835,13.85,1,0.025949002999999998,5,161.921,7,2002,2,1,1,1,11
188,87,9.5,0,0.040898157000000004,7,225.2088,9,1999,1,0,1,0,14
771,87,9.5,0,0.041001012999999996,7,223.0088,3,2009,1,2,2,0,4
1067,87,9.5,0,0.040917483,7,222.0088,7,2002,2,1,1,0,11
3138,87,9.5,0,0.034075335166666665,7,225.0088,6,2004,2,1,1,0,9
3972,87,9.5,0,0.040800687999999995,7,223.5088,1,1987,0,2,1,0,26
5206,87,9.5,0,0.04083467,7,224.7088,8,1997,2,0,1,0,16
3899,439,10.395,0,0.031401634,12,160.3604,2,2007,2,1,1,1,6
4997,439,10.395,0,0.03135221,12,158.6604,3,2009,1,2,2,1,4
5141,439,10.395,0,0.031225013,12,156.9604,8,1997,2,0,1,1,16
2236,222,10.5,1,0.094294233,13,213.7244,2,2007,2,1,1,1,6
3366,222,10.5,1,0.09330981099999999,13,212.6244,5,1985,1,2,3,1,28
3721,222,10.5,1,0.093763866,13,213.3244,8,1997,2,0,1,1,16
5447,222,10.5,1,0.09368583800000001,13,212.4244,1,1987,0,2,1,1,26
965,653,11.5,0,0.046195515,13,117.4124,9,1999,1,0,1,1,14
1658,653,11.5,0,0.046123804000000004,13,118.6124,8,1997,2,0,1,1,16
4598,653,11.5,0,0.046085420999999994,13,117.6124,1,1987,0,2,1,1,26
5046,653,11.5,0,0.080756828,13,118.0124,4,1985,2,0,0,1,28
600,497,18.7,0,0.104171229,5,122.4072,5,1985,1,2,3,1,28
3868,497,18.7,0,0.104678138,5,124.3072,8,1997,2,0,1,1,16
3144,1536,7.825,0,0.185913021,9,252.4698,1,1987,0,2,1,2,26
3459,1536,7.825,0,0.18516682,9,253.8698,5,1985,1,2,3,2,28
2708,1465,18.6,0,0.08050144299999999,8,96.2436,8,1997,2,0,1,2,16
3451,1465,18.6,0,0.080664702,8,95.0436,7,2002,2,1,1,2,11
4894,1465,18.6,0,0.080486221,8,94.5436,6,2004,2,1,1,2,9
2871,381,7.17,1,0.099972466,6,132.4968,0,1998,2,2,0,1,15
2938,381,7.17,1,0.059678319,6,129.5968,1,1987,0,2,1,1,26
4628,381,7.17,1,0.060065869,6,130.9968,2,2007,2,1,1,1,6
5591,381,7.17,1,0.059728023,6,132.2968,8,1997,2,0,1,1,16
2622,1292,8.18,0,0.022988988999999998,9,143.3154,4,1985,2,0,0,2,28
4227,1292,8.18,0,0.013119104,9,143.4154,1,1987,0,2,1,2,26
4623,1292,8.18,0,0.013150445,9,140.6154,9,1999,1,0,1,2,14
2320,434,17.1,1,0.046581881,3,142.1838,5,1985,1,2,3,1,28
2327,434,17.1,1,0.046999232,3,138.6838,3,2009,1,2,2,1,4
4216,434,17.1,1,0.046799702,3,139.5838,6,2004,2,1,1,1,9
833,998,5.75,1,0.075170211,4,115.3176,8,1997,2,0,1,1,16
1417,998,5.75,1,0.075155997,4,114.1176,6,2004,2,1,1,1,9
2498,998,5.75,1,0.05010873600000001,4,112.8176,3,2009,1,2,2,1,4
1481,678,16.85,1,0.026573608999999998,3,94.912,7,2002,2,1,1,1,11
2152,678,16.85,1,0.026519826,3,94.712,8,1997,2,0,1,1,16
3064,678,16.849999999999998,1,0.046432792,3,94.912,4,1985,2,0,0,1,28
3441,678,16.85,1,0.026669832999999997,3,92.712,2,2007,2,1,1,1,6
3565,678,16.85,1,0.026514812000000002,3,93.31200000000001,6,2004,2,1,1,1,9
3981,678,16.85,1,0.026497757,3,93.012,1,1987,0,2,1,1,26
4127,678,16.85,1,0.025601232714285715,3,93.712,0,1998,2,2,0,1,15
1888,238,19.0,1,0.06917706533333333,6,225.27200000000002,6,2004,2,1,1,1,9
2543,238,19.0,1,0.103871404,6,227.77200000000002,3,2009,1,2,2,1,4
3660,238,19.0,1,0.10365979199999999,6,226.372,7,2002,2,1,1,1,11
961,1021,14.85,1,0.035086303,6,159.1578,5,1985,1,2,3,1,28
3023,1021,14.85,1,0.059013051,6,159.7578,0,1998,2,2,0,1,15
4955,1021,14.85,1,0.035328539,6,158.5578,7,2002,2,1,1,1,11
5183,527,12.3,1,0.10676038300000001,6,173.2396,3,2009,1,2,2,1,4
1510,1486,5.32,0,0.162626685,8,103.6674,4,1985,2,0,0,2,28
5124,1486,5.32,0,0.092883309,8,100.1674,8,1997,2,0,1,2,16
433,506,7.26,0,0.01441152,10,118.415,1,1987,0,2,1,1,26
701,506,7.26,0,0.014420795,10,116.215,6,2004,2,1,1,1,9
1870,506,7.26,0,0.014423523,10,118.015,8,1997,2,0,1,1,16
3260,506,7.26,0,0.014452774,10,115.015,7,2002,2,1,1,1,11
4938,506,7.26,0,0.011541722400000001,10,114.515,9,1999,1,0,1,1,14
664,1084,10.6,0,0.011079996000000002,1,42.2454,1,1987,0,2,1,1,26
976,1084,10.6,0,0.011035524,1,42.1454,5,1985,1,2,3,1,28
4450,1084,10.6,0,0.011089223999999998,1,41.8454,8,1997,2,0,1,1,16
4622,536,7.42,1,0.021469174,12,187.6582,5,1985,1,2,3,1,28
4861,536,7.42,1,0.021555692,12,186.0582,1,1987,0,2,1,1,26
5338,536,7.42,1,0.021607186,12,185.3582,9,1999,1,0,1,1,14
870,1384,6.095,0,0.081322858,11,141.2154,9,1999,1,0,1,2,14
1242,1384,6.095,0,0.08112904900000001,11,143.8154,1,1987,0,2,1,2,26
1951,1384,6.095,0,0.0758323644,11,142.5154,6,2004,2,1,1,2,9
3559,1384,6.095,0,0.080803421,11,140.1154,5,1985,1,2,3,2,28
3575,1384,6.095,0,0.13590649400000002,11,141.9154,0,1998,2,2,0,2,15
225,241,20.5,0,0.14176602900000002,15,87.4172,6,2004,2,1,1,1,9
4162,241,20.5,0,0.1420804,15,89.5172,7,2002,2,1,1,1,11
4338,241,20.5,0,0.14201329099999999,15,88.2172,9,1999,1,0,1,1,14
4531,241,20.5,0,0.142594879,15,87.7172,2,2007,2,1,1,1,6
1210,1073,9.695,1,0.0242726752,13,223.1114,8,1997,2,0,1,1,16
3457,1073,9.695,1,0.030351816,13,219.7114,7,2002,2,1,1,1,11
4566,1073,9.695,1,0.030284659,13,223.3114,6,2004,2,1,1,1,9
4688,1073,9.695,1,0.030461721,13,220.0114,2,2007,2,1,1,1,6
4874,1073,9.695,1,0.03026518,13,223.4114,1,1987,0,2,1,1,26
2940,856,5.675,1,0.023629875,13,156.2288,2,2007,2,1,1,1,6
3530,856,5.675,1,0.023544619,13,155.5288,7,2002,2,1,1,1,11
3844,856,5.675,1,0.023383182000000002,13,155.3288,5,1985,1,2,3,1,28
4269,856,5.675,1,0.023592684,13,156.8288,3,2009,1,2,2,1,4
5131,856,5.675,1,0.023533497999999996,13,158.7288,9,1999,1,0,1,1,14
5225,856,5.675,1,0.023477413,13,157.7288,1,1987,0,2,1,1,26
542,757,15.35,0,0.074731622,13,87.883,9,1999,1,0,1,1,14
3238,757,15.35,0,0.074254285,13,91.083,5,1985,1,2,3,1,28
4879,757,15.35,0,0.059788629,13,89.383,7,2002,2,1,1,1,11
5148,757,15.35,0,0.075037671,13,88.383,2,2007,2,1,1,1,6
5248,757,15.35,0,0.074919567,13,89.383,3,2009,1,2,2,1,4
632,1263,19.6,0,0.041524728999999996,9,87.8514,2,2007,2,1,1,2,6
1078,174,16.0,1,0.0911564335,5,88.3856,7,2002,2,1,1,1,11
1364,174,16.0,1,0.098790484,5,85.8856,5,1985,1,2,3,1,28
4683,174,16.0,1,0.166159652,5,87.5856,0,1998,2,2,0,1,15
5529,174,16.0,1,0.099675598,5,88.6856,3,2009,1,2,2,1,4
3287,938,14.15,0,0.035413843,3,253.0014,3,2009,1,2,2,1,4
4721,938,14.15,0,0.035325003,3,254.1014,9,1999,1,0,1,1,14
4800,938,14.15,0,0.03509937,3,255.6014,5,1985,1,2,3,1,28
4881,938,14.15,0,0.05903503,3,256.4014,0,1998,2,2,0,1,15
5094,938,14.15,0,0.0329746492,3,255.8014,8,1997,2,0,1,1,16
881,158,13.65,0,0.035786568,13,186.4924,5,1985,1,2,3,1,28
5296,158,13.65,0,0.017893284,13,186.6924,2,2007,2,1,1,1,6
694,1003,8.27,1,0.15679782,13,149.8708,4,1985,2,0,0,1,28
923,1003,8.27,1,0.08991899199999999,13,150.7708,3,2009,1,2,2,1,4
1603,1003,8.27,1,0.08969341900000001,13,152.2708,9,1999,1,0,1,1,14
3485,1003,8.27,1,0.089537252,13,149.7708,6,2004,2,1,1,1,9
5074,1003,8.27,1,0.090060741,13,150.3708,2,2007,2,1,1,1,6
518,583,8.115,1,0.032224086,3,154.8972,7,2002,2,1,1,1,11
1075,583,8.115,1,0.032003136,3,153.9972,5,1985,1,2,3,1,28
1365,583,8.115,1,0.032289868,3,157.6972,3,2009,1,2,2,1,4
3040,583,8.115,1,0.032132105,3,155.4972,1,1987,0,2,1,1,26
4544,583,8.115,1,0.03234077,3,154.3972,2,2007,2,1,1,1,6
4726,583,8.115,1,0.056306024,3,156.1972,4,1985,2,0,0,1,28
4077,1447,17.75,0,0.18629610300000002,11,108.1912,0,1998,2,2,0,2,15
5511,1447,17.75,0,0.09314805150000001,11,109.8912,6,2004,2,1,1,2,9
1208,983,7.63,1,0.134982959,13,45.2402,7,2002,2,1,1,1,11
1542,983,7.63,1,0.13459766199999998,13,44.7402,1,1987,0,2,1,1,26
3074,983,7.63,1,0.134709764,13,44.8402,8,1997,2,0,1,1,16
3122,983,7.63,1,0.13547173699999998,13,45.2402,2,2007,2,1,1,1,6
167,564,16.6,0,0.122417514,6,174.3738,9,1999,1,0,1,1,14
679,564,16.6,0,0.12212576900000001,6,174.4738,1,1987,0,2,1,1,26
2767,564,16.6,0,0.12272538599999999,6,171.7738,3,2009,1,2,2,1,4
4069,564,16.6,0,0.214004545,6,173.6738,4,1985,2,0,0,1,28
969,304,8.615,0,0.203536932,6,93.2436,4,1985,2,0,0,1,28
1814,304,8.615,0,0.10500814266666665,6,92.9436,9,1999,1,0,1,1,14
3596,304,8.615,0,0.194576935,6,95.4436,0,1998,2,2,0,1,15
4516,304,8.615,0,0.116248965,6,94.1436,8,1997,2,0,1,1,16
4974,304,8.615,0,0.115686024,6,96.0436,5,1985,1,2,3,1,28
5299,304,8.615,0,0.10500814266666665,6,93.8436,2,2007,2,1,1,1,6
1251,1098,6.155,1,0.09464197199999999,10,212.05599999999998,6,2004,2,1,1,1,9
4140,1098,6.155,1,0.094581098,10,211.456,1,1987,0,2,1,1,26
5261,1098,6.155,1,0.094851844,10,213.856,7,2002,2,1,1,1,11
618,1370,12.35,0,0.04153551,8,32.8216,5,1985,1,2,3,2,28
2306,1370,12.35,0,0.041702894,8,35.4216,1,1987,0,2,1,2,26
2340,1370,12.35,0,0.041822272,8,35.6216,7,2002,2,1,1,2,11
1117,533,10.5,0,0.071402425,5,122.0098,7,2002,2,1,1,1,11
1382,533,10.5,0,0.071198613,5,120.6098,1,1987,0,2,1,1,26
4036,533,10.5,0,0.119271136,5,121.0098,0,1998,2,2,0,1,15
4350,533,10.5,0,0.124763406,5,119.0098,4,1985,2,0,0,1,28
410,1462,16.35,0,0.090702992,9,195.111,9,1999,1,0,1,2,14
962,1462,16.35,0,0.090745855,9,196.41099999999997,7,2002,2,1,1,2,11
4893,1462,16.35,0,0.090931104,9,195.71099999999998,3,2009,1,2,2,2,4
5320,1462,16.35,0,0.09012364099999999,9,194.81099999999998,5,1985,1,2,3,2,28
711,975,12.15,0,0.021846371,1,167.1184,2,2007,2,1,1,1,6
3668,115,15.7,0,0.015351815,7,43.277,3,2009,1,2,2,0,4
5674,115,15.7,0,0.03070363,7,43.277,8,1997,2,0,1,0,16
2640,132,9.6,0,0.096297398,14,167.3158,8,1997,2,0,1,0,16
2943,132,9.6,0,0.09649269199999999,14,165.8158,7,2002,2,1,1,0,11
3865,132,9.6,0,0.16860431399999998,14,167.4158,4,1985,2,0,0,0,28
4886,132,9.6,0,0.090348601,14,166.0158,5,1985,1,2,3,0,28
1370,386,9.3,0,0.06678329200000001,5,183.0292,8,1997,2,0,1,1,16
1469,769,6.3999999999999995,0,0.084343183,5,39.7796,5,1985,1,2,3,1,28
2066,769,6.4,0,0.08473758,5,39.3796,6,2004,2,1,1,1,9
2178,769,6.4,0,0.084683076,5,42.9796,1,1987,0,2,1,1,26
2470,769,6.4,0,0.08523300699999999,5,42.2796,2,2007,2,1,1,1,6
3034,769,6.4,0,0.085098856,5,42.0796,3,2009,1,2,2,1,4
4003,769,6.4,0,0.07269275828571428,5,39.5796,7,2002,2,1,1,1,11
4620,769,6.4,0,0.084753606,5,40.2796,8,1997,2,0,1,1,16
529,281,13.5,0,0.021492339,6,179.6976,6,2004,2,1,1,1,9
620,281,13.5,0,0.035980572,6,180.8976,0,1998,2,2,0,1,15
5488,281,13.5,0,0.021529824,6,180.1976,9,1999,1,0,1,1,14
552,568,7.96,0,0.049660305999999994,3,163.4894,4,1985,2,0,0,1,28
889,568,7.96,0,0.028407299999999996,3,162.9894,9,1999,1,0,1,1,14
2425,568,7.96,0,0.028420723999999998,3,161.8894,7,2002,2,1,1,1,11
2531,568,7.96,0,0.028363202999999997,3,160.4894,8,1997,2,0,1,1,16
5151,568,7.96,0,0.028225853,3,161.0894,5,1985,1,2,3,1,28
1454,712,17.1,0,0.032694281,5,147.8392,7,2002,2,1,1,1,11
3237,712,17.1,0,0.032600958,5,150.4392,1,1987,0,2,1,1,26
3289,712,17.1,0,0.032621941,5,150.9392,6,2004,2,1,1,1,9
1269,106,8.365,0,0.072139167,7,36.7506,3,2009,1,2,2,0,4
3107,106,8.365,0,0.07178670599999999,7,39.3506,1,1987,0,2,1,0,26
291,143,7.535,0,0.081719458,14,118.444,1,1987,0,2,1,0,26
652,143,7.535,0,0.0887172882,14,120.244,3,2009,1,2,2,0,4
2626,143,7.535,0,0.13689554,14,120.244,0,1998,2,2,0,0,15
2910,143,7.535,0,0.143199389,14,120.14399999999999,4,1985,2,0,0,0,28
3450,143,7.535,0,0.081772054,14,120.444,6,2004,2,1,1,0,9
2442,105,8.395,0,0.072122618,7,252.104,7,2002,2,1,1,0,11
3083,105,8.395,0,0.126021818,7,253.204,4,1985,2,0,0,0,28
3312,105,8.395,0,0.07196303700000001,7,251.804,6,2004,2,1,1,0,9
3629,105,8.395,0,0.071976647,7,253.00400000000002,8,1997,2,0,1,0,16
875,116,15.5,0,0.089334085,14,44.477,0,1998,2,2,0,0,15
1528,116,15.5,0,0.053372178,14,43.376999999999995,8,1997,2,0,1,0,16
335,822,9.895,1,0.028883289,3,116.6492,2,2007,2,1,1,1,6
536,822,9.895,1,0.028779079,3,114.8492,7,2002,2,1,1,1,11
1712,822,9.895,1,0.02858175,3,116.4492,5,1985,1,2,3,1,28
2757,822,9.895,1,0.028715402,3,115.1492,6,2004,2,1,1,1,9
3682,822,9.895,1,0.028720832,3,116.7492,8,1997,2,0,1,1,16
5247,822,9.895,1,0.05028647,3,115.8492,4,1985,2,0,0,1,28
5455,822,9.895,1,0.048072785,3,115.3492,0,1998,2,2,0,1,15
3223,37,19.1,0,0.045564412,4,39.1138,2,2007,2,1,1,0,6
165,1240,17.75,0,0.127140836,0,110.5544,0,1998,2,2,0,1,15
901,1240,17.75,0,0.069657258,0,112.0544,6,2004,2,1,1,1,9
3580,1240,17.75,0,0.075896411,0,113.3544,1,1987,0,2,1,1,26
4150,1240,17.75,0,0.075591785,0,111.6544,5,1985,1,2,3,1,28
258,1164,12.1,0,0.030127406000000002,3,74.567,8,1997,2,0,1,1,16
3227,1164,12.1,0,0.029981512999999998,3,77.867,5,1985,1,2,3,1,28
4427,1480,15.699999999999998,0,0.0421506765,8,153.7024,5,1985,1,2,3,2,28
4716,1480,15.7,0,0.056306994000000006,8,153.2024,2,2007,2,1,1,2,6
4934,1480,15.7,0,0.056077340999999996,8,152.1024,9,1999,1,0,1,2,14
5513,1480,15.7,0,0.056218370999999996,8,150.3024,3,2009,1,2,2,2,4
2526,367,10.3,1,0.059067021,6,189.653,3,2009,1,2,2,1,4
2636,367,10.3,1,0.058827383,6,189.85299999999998,8,1997,2,0,1,1,16
5262,367,10.3,1,0.10299915400000001,6,187.953,4,1985,2,0,0,1,28
2679,305,6.035,0,0.142055011,13,152.3998,2,2007,2,1,1,1,6
2709,305,6.035,0,0.1412293,13,155.5998,6,2004,2,1,1,1,9
5025,305,6.035,0,0.14183142699999998,13,152.4998,3,2009,1,2,2,1,4
5100,305,6.035,0,0.14125601,13,155.3998,8,1997,2,0,1,1,16
248,459,9.42,1,0.073484791,5,63.6194,0,1998,2,2,0,1,15
462,459,9.42,1,0.04188904885714286,5,61.3194,9,1999,1,0,1,1,14
2038,459,9.42,1,0.044081944000000005,5,60.1194,3,2009,1,2,2,1,4
2056,459,9.42,1,0.043903102,5,62.1194,8,1997,2,0,1,1,16
2765,459,9.42,1,0.043894800000000005,5,62.2194,6,2004,2,1,1,1,9
5166,459,9.42,1,0.043992138,5,63.3194,7,2002,2,1,1,1,11
5376,459,9.42,1,0.043866567,5,63.4194,1,1987,0,2,1,1,26
952,939,18.7,0,0.0578629,4,86.2566,2,2007,2,1,1,1,6
1380,939,18.7,0,0.057489563,4,84.7566,1,1987,0,2,1,1,26
3089,939,18.7,0,0.057537445,4,86.3566,8,1997,2,0,1,1,16
3139,939,18.7,0,0.057526565,4,85.2566,6,2004,2,1,1,1,9
4821,939,18.7,0,0.057258817000000004,4,85.3566,5,1985,1,2,3,1,28
2545,478,5.59,1,0.056690820999999995,13,63.4168,9,1999,1,0,1,1,14
3000,478,5.59,1,0.056922987,13,63.4168,2,2007,2,1,1,1,6
743,1000,7.56,0,0.063770861,5,154.963,8,1997,2,0,1,1,16
1012,1000,7.56,0,0.063717792,5,155.16299999999998,1,1987,0,2,1,1,26
2050,1000,7.56,0,0.064131575,5,154.563,2,2007,2,1,1,1,6
3133,1000,7.56,0,0.06387000799999999,5,154.563,9,1999,1,0,1,1,14
4708,1000,7.56,0,0.053208173,5,156.563,0,1998,2,2,0,1,15
5550,1000,7.56,0,0.063758802,5,157.363,6,2004,2,1,1,1,9
349,1150,17.25,1,0.047339698,13,96.5068,9,1999,1,0,1,1,14
2266,1150,17.25,1,0.047362068,13,98.3068,7,2002,2,1,1,1,11
2635,1150,17.25,1,0.047257274,13,97.0068,6,2004,2,1,1,1,9
425,1374,12.15,0,0.064924087,11,251.204,3,2009,1,2,2,2,4
1750,1374,12.15,0,0.0484696325,11,254.00400000000002,9,1999,1,0,1,2,14
4991,1374,12.15,0,0.064347565,11,253.50400000000002,5,1985,1,2,3,2,28
5092,1374,12.15,0,0.06460687799999999,11,253.604,1,1987,0,2,1,2,26
1290,589,10.3,1,0.024896589,0,173.2422,8,1997,2,0,1,1,16
2802,589,10.3,1,0.025037413999999997,0,173.6422,2,2007,2,1,1,1,6
1025,739,14.65,1,0.099132174,13,51.6666,8,1997,2,0,1,1,16
3337,739,14.65,1,0.099049679,13,49.7666,1,1987,0,2,1,1,26
1266,1516,21.25,0,0.113780055,8,234.93,9,1999,1,0,1,2,14
1771,1516,21.25,0,0.11360343199999999,8,231.73,8,1997,2,0,1,2,16
3437,1516,21.25,0,0.113053302,8,232.93,5,1985,1,2,3,2,28
4461,1516,21.25,0,0.113581951,8,234.93,6,2004,2,1,1,2,9
5471,1516,21.25,0,0.113508894,8,234.73,1,1987,0,2,1,2,26
5048,1131,6.195,0,0.07192562599999999,13,121.9098,1,1987,0,2,1,1,26
5421,1131,6.195,0,0.07239271,13,122.2098,2,2007,2,1,1,1,6
2639,60,5.78,0,0.014552313,14,145.1102,6,2004,2,1,1,0,9
3109,60,5.78,0,0.025484041000000002,14,143.8102,4,1985,2,0,0,0,28
4690,60,5.78,0,0.024362196000000003,14,145.8102,0,1998,2,2,0,0,15
4956,60,5.78,0,0.014637395,14,144.7102,2,2007,2,1,1,0,6
5581,60,5.78,0,0.014542953,14,143.9102,1,1987,0,2,1,0,26
191,954,15.2,0,0.019112323,13,236.2248,3,2009,1,2,2,1,4
1490,954,15.2,0,0.019073386,13,237.7248,7,2002,2,1,1,1,11
2960,954,15.2,0,0.019034783,13,238.4248,8,1997,2,0,1,1,16
1970,588,16.85,0,0.063714498,13,90.2488,4,1985,2,0,0,1,28
3676,588,16.85,0,0.036538413,13,91.4488,3,2009,1,2,2,1,4
737,804,16.0,1,0.017578563999999998,10,45.9718,9,1999,1,0,1,1,14
